T_nh,n_h,T_ne,n_e,T_ue,u_e,T_uh,u_h
2.602814713,2.36588E+19,299.3272236,3.98399E+19,6.032215648,105368.5897,5.309007232,136630.9172
11.07520616,2.37738E+19,274.8159135,3.72439E+19,12.32330703,97285.50296,12.58629191,129553.7475
25.67233494,2.43407E+19,250.3081351,3.4873E+19,26.88609467,84139.54635,26.61900066,111367.1105
51.53096361,2.28283E+19,224.3868199,3.23892E+19,51.53681788,48783.28402,51.70940171,69959.31953
75.98576751,2.18221E+19,199.8808073,3.01308E+19,76.32930638,30821.62229,75.95126561,44436.02071
102.3573661,2.30115E+19,174.9103848,2.82664E+19,101.1731591,19162.35207,101.2389053,27229.41321
124.9827833,2.53818E+19,150.4087867,2.62895E+19,125.5670611,12294.13215,125.119165,17337.27811
150.4290936,2.75841E+19,125.4463103,2.49317E+19,149.9897272,8955.251479,150.5074786,12483.35799
174.0054034,3.05738E+19,100.4803023,2.33487E+19,174.9075444,6371.425049,175.4170776,8891.148915
200.8820257,3.39585E+19,75.52753792,2.26099E+19,199.8356345,5048.076923,198.8699869,6563.116371
225.8780527,3.74552E+19,51.07891438,2.40102E+19,224.76167,3472.633136,224.289119,5490.631164
251.3517331,4.14024E+19,25.68646148,2.52413E+19,249.6938692,2653.476331,249.2192636,4419.378698
274.9395208,4.51238E+19,10.15168371,2.48992E+19,274.14119,2339.74359,273.6624753,3601.454635
300.4096696,4.88458E+19,5.43871731,2.44476E+19,299.5664859,2023.545365,298.1077416,3035.626233
